time,src_ip,dst_ip,protocol,port,verdict
12:38:21,10.0.2.15,8.8.8.8,UDP,53,ALLOWED
12:38:21,10.0.2.15,8.8.8.8,UDP,53,ALLOWED
12:38:21,8.8.8.8,10.0.2.15,UDP,50442,ALLOWED
12:38:21,8.8.8.8,10.0.2.15,UDP,50442,ALLOWED
12:38:21,10.0.2.15,142.250.151.102,OTHER,0,ALLOWED
12:38:21,142.250.151.102,10.0.2.15,OTHER,0,ALLOWED
12:38:21,10.0.2.15,8.8.8.8,UDP,53,ALLOWED
12:38:21,8.8.8.8,10.0.2.15,UDP,39194,ALLOWED
12:38:22,10.0.2.15,142.250.151.102,OTHER,0,ALLOWED
12:38:22,142.250.151.102,10.0.2.15,OTHER,0,ALLOWED
12:38:23,10.0.2.15,142.250.151.102,OTHER,0,ALLOWED
12:38:23,142.250.151.102,10.0.2.15,OTHER,0,ALLOWED
12:38:24,10.0.2.15,142.250.151.102,OTHER,0,ALLOWED
12:38:24,142.250.151.102,10.0.2.15,OTHER,0,ALLOWED
12:38:25,10.0.2.15,142.250.151.102,OTHER,0,ALLOWED
12:38:25,142.250.151.102,10.0.2.15,OTHER,0,ALLOWED
12:38:26,10.0.2.15,142.250.151.102,OTHER,0,ALLOWED
12:38:26,142.250.151.102,10.0.2.15,OTHER,0,ALLOWED
